Severity,County,State,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Crossing,Junction,Railway,Roundabout,Stop,Traffic_Signal,Sunrise_Sunset,Year,Month,Hour,DayOfWeek
1,Palm Beach,FL,78.0,81.0,10.0,13.0,0.01,Mostly Cloudy,False,False,False,False,False,True,Day,2020.0,4.0,9.0,4.0
2,Placer,CA,55.0,88.0,10.0,9.0,0.0,Mostly Cloudy,True,False,False,False,True,False,Day,,,,
3,Fulton,GA,91.0,47.0,10.0,10.4,,Partly Cloudy,True,False,False,False,False,False,Day,2016.0,8.0,16.0,4.0
3,Pierce,WA,67.0,84.0,10.0,3.0,0.0,Cloudy,False,False,False,False,False,False,Day,2019.0,9.0,15.0,4.0
2,Maricopa,AZ,95.0,16.0,10.0,6.0,0.0,Fair,False,False,False,False,False,False,Day,2019.0,6.0,16.0,0.0
2,Hamilton,IA,19.0,93.0,0.5,28.0,0.0,Light Snow / Windy,False,False,False,False,False,False,Day,2021.0,2.0,12.0,3.0
2,Fairfax County,VA,68.0,84.0,10.0,8.0,0.0,Cloudy,False,False,False,False,False,False,Day,2022.0,6.0,10.0,3.0
3,Treutlen,GA,79.0,78.0,1.0,13.0,0.0,Heavy T-Storm,False,False,False,False,False,False,Day,2020.0,9.0,16.0,4.0
2,Montgomery,MD,36.0,72.0,10.0,10.0,0.0,Cloudy,False,False,False,False,False,False,Night,2022.0,2.0,19.0,4.0
2,Alameda,CA,56.0,30.0,10.0,15.0,0.0,Fair,False,False,False,False,False,False,Day,,,,
2,Chisago,MN,26.0,93.0,3.0,8.0,0.0,Cloudy,False,False,False,False,False,False,Night,2020.0,1.0,0.0,1.0
2,Allegheny,PA,26.1,63.0,10.0,3.5,,Clear,False,False,False,False,False,True,Day,2018.0,3.0,7.0,4.0
2,San Diego,CA,61.0,67.0,9.0,14.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,4.0,15.0,2.0
2,St. Tammany,LA,81.0,91.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,8.0,6.0,6.0
2,Williamson,TN,64.9,87.0,10.0,6.9,,Overcast,False,False,False,False,False,False,Day,2018.0,9.0,8.0,1.0
2,Stafford,VA,44.0,79.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,3.0,8.0,1.0
2,Cleveland,OK,74.0,68.0,10.0,23.0,0.0,Cloudy / Windy,True,False,False,False,False,True,Day,2022.0,4.0,12.0,4.0
2,Middlesex,MA,71.0,53.0,10.0,12.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,2022.0,9.0,17.0,2.0
3,Mecklenburg,NC,40.0,93.0,1.0,3.0,0.05,Heavy Rain,False,False,False,False,False,False,Night,2021.0,12.0,5.0,2.0
2,Rensselaer,NY,67.0,54.0,10.0,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,2021.0,10.0,15.0,5.0
3,Horry,SC,64.0,64.0,10.0,6.0,0.0,Partly Cloudy,False,False,False,False,False,True,Day,2022.0,3.0,18.0,1.0
4,Lane,OR,48.0,80.0,10.0,14.0,0.02,Light Rain,False,False,False,False,False,False,Day,2019.0,4.0,7.0,5.0
2,Genesee,MI,70.0,65.0,10.0,13.8,,Clear,True,False,False,False,False,True,Day,2016.0,10.0,17.0,1.0
2,Lee,FL,64.0,93.0,8.0,3.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,5.0,7.0,2.0
2,Deschutes,OR,,,,,,,False,False,False,False,False,False,Night,2018.0,12.0,1.0,1.0
3,Allegheny,PA,39.0,82.0,8.0,,,Clear,True,False,False,False,False,True,Day,2019.0,1.0,13.0,4.0
2,Pasco,FL,59.0,100.0,2.0,0.0,0.0,Fog,False,False,False,False,False,False,Day,2019.0,12.0,7.0,1.0
2,Kern,CA,57.9,75.0,10.0,,,Clear,False,False,False,False,False,False,Night,2018.0,10.0,4.0,0.0
2,Clackamas,OR,46.0,79.0,10.0,17.0,0.0,Cloudy,False,False,False,False,False,False,Day,,,,
2,New York,NY,59.0,58.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Night,2022.0,10.0,22.0,4.0
2,Accomack,VA,51.0,96.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,11.0,22.0,2.0
2,San Bernardino,CA,,,10.0,8.1,,Clear,False,False,False,False,False,False,Day,2018.0,10.0,16.0,1.0
2,DuPage,IL,34.0,46.0,10.0,9.2,,Clear,True,False,False,False,False,True,Day,2017.0,12.0,16.0,4.0
3,Fairfax County,VA,37.0,39.0,10.0,15.0,,Clear,False,False,False,False,False,False,Night,2017.0,2.0,17.0,3.0
2,El Paso,TX,37.9,41.0,10.0,3.5,,Clear,False,False,False,False,False,False,Day,2018.0,11.0,7.0,1.0
3,Broward,FL,80.1,74.0,10.0,16.1,,Scattered Clouds,False,False,False,False,False,False,Night,2018.0,11.0,22.0,6.0
2,King,WA,55.9,97.0,9.0,3.5,0.04,Light Rain,True,False,False,False,False,False,Day,2016.0,10.0,12.0,2.0
2,Los Angeles,CA,70.0,71.0,10.0,7.0,0.0,Cloudy,False,False,False,False,False,False,Day,2022.0,10.0,11.0,5.0
2,Prince George's,MD,73.0,33.0,10.0,15.0,0.0,Fair,False,True,False,False,False,False,Day,2021.0,9.0,15.0,6.0
2,Los Angeles,CA,62.0,24.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2022.0,2.0,18.0,6.0
2,Erie,NY,41.0,89.0,10.0,13.0,0.0,Cloudy,False,False,False,False,False,False,Night,2020.0,10.0,23.0,3.0
3,Miami-Dade,FL,79.0,84.0,10.0,,,Clear,False,False,False,False,False,False,Night,2018.0,8.0,0.0,3.0
2,Wyandotte,KS,,,,,,,False,False,False,False,False,False,Day,2019.0,3.0,8.0,2.0
2,Orange,FL,70.0,100.0,0.5,0.0,0.0,Fog,False,False,False,False,False,False,Day,2021.0,3.0,7.0,0.0
2,Sarasota,FL,69.0,87.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,2.0,23.0,0.0
2,Brevard,FL,88.0,40.0,7.0,18.0,,Partly Cloudy,False,False,False,False,False,False,Day,2023.0,1.0,14.0,2.0
2,Santa Clara,CA,39.2,93.0,10.0,,,Clear,False,True,False,False,False,False,Night,2017.0,2.0,6.0,4.0
2,New York,NY,51.0,83.0,8.0,7.0,0.0,Cloudy,False,True,False,False,False,False,Day,,,,
2,Los Angeles,CA,51.0,86.0,4.0,0.0,0.0,Cloudy,False,False,False,False,False,False,Night,2021.0,12.0,21.0,3.0
2,Fairfield,CT,38.0,60.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2023.0,2.0,21.0,6.0
2,Lexington,SC,69.0,61.0,10.0,8.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,5.0,23.0,5.0
2,DeKalb,GA,60.0,25.0,10.0,,0.0,Fair,False,False,False,False,False,False,Day,2021.0,11.0,15.0,5.0
2,Orange,FL,84.9,65.0,10.0,12.7,,Mostly Cloudy,True,False,False,False,False,True,Day,2016.0,9.0,11.0,3.0
2,Harris,TX,77.0,74.0,10.0,5.8,,Clear,False,False,False,False,False,False,Night,2016.0,10.0,21.0,3.0
2,Orange,CA,51.8,94.0,10.0,,,Partly Cloudy,False,False,False,False,False,False,Night,2018.0,3.0,3.0,3.0
3,Dallas,TX,51.0,63.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Day,2019.0,11.0,8.0,0.0
2,East Baton Rouge,LA,50.0,74.0,10.0,12.0,0.0,Cloudy,False,False,False,False,False,False,Day,2022.0,11.0,13.0,1.0
2,Orange,CA,54.0,23.0,10.0,7.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,1.0,7.0,4.0
2,Nassau,NY,73.0,79.0,4.0,23.0,0.03,Heavy T-Storm / Windy,False,False,False,False,False,False,Day,,,,
1,Tulsa,OK,89.0,57.0,10.0,8.0,0.0,Mostly Cloudy,True,False,False,False,True,False,Day,2022.0,5.0,17.0,2.0
2,Polk,FL,78.8,83.0,10.0,,,Clear,False,False,False,False,False,False,Day,2018.0,7.0,7.0,2.0
2,Carlton,MN,,,,,0.0,,False,False,False,False,False,False,Day,2021.0,9.0,7.0,2.0
2,Maricopa,AZ,81.0,14.0,10.0,5.8,,Clear,False,False,False,False,True,False,Day,2019.0,3.0,17.0,2.0
2,Westchester,NY,75.0,66.0,10.0,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,2019.0,8.0,10.0,4.0
2,Laurens,SC,45.0,100.0,4.0,14.0,0.17,Rain,False,False,False,False,False,False,Night,2019.0,12.0,6.0,0.0
2,Miami-Dade,FL,87.0,67.0,10.0,8.0,0.0,Thunder in the Vicinity,False,False,False,False,False,False,Day,2020.0,10.0,13.0,4.0
2,Wake,NC,77.0,56.0,10.0,10.4,,Mostly Cloudy,True,False,False,False,False,True,Day,2017.0,8.0,13.0,0.0
2,Dallas,TX,96.0,40.0,10.0,13.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,2022.0,7.0,14.0,6.0
2,Shelby,TN,45.0,71.0,10.0,5.0,0.0,Fair,False,False,False,False,False,True,Night,2021.0,11.0,5.0,1.0
2,Rutherford,TN,73.0,87.0,10.0,3.5,,Clear,False,False,False,False,False,False,Day,2018.0,9.0,8.0,3.0
2,Washoe,NV,30.0,85.0,9.0,5.0,0.0,Cloudy,False,False,False,False,False,False,Night,2021.0,12.0,4.0,0.0
2,Fresno,CA,63.0,38.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2021.0,3.0,20.0,4.0
2,Middlesex,NJ,42.0,64.0,,0.0,0.0,Cloudy,False,False,False,False,False,False,Night,2022.0,4.0,3.0,1.0
2,Miami-Dade,FL,83.0,82.0,10.0,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,,,,
3,Providence,RI,53.6,100.0,0.2,3.5,,Fog,False,False,False,False,False,False,Day,2017.0,10.0,9.0,0.0
2,Mecklenburg,NC,59.0,29.0,10.0,9.0,0.0,Fair,True,False,False,False,False,True,Day,2021.0,12.0,13.0,2.0
2,Wake,NC,75.9,91.0,10.0,,,Overcast,False,False,False,False,False,True,Day,2018.0,6.0,7.0,0.0
2,Apache,AZ,39.0,93.0,10.0,,,Clear,False,False,False,False,False,False,Night,2018.0,10.0,6.0,2.0
2,Lake,IN,68.0,83.0,7.0,0.0,0.0,Light Rain,False,False,False,False,False,False,Day,2022.0,7.0,8.0,4.0
2,Lake,IL,48.0,52.0,10.0,10.4,,Partly Cloudy,False,False,False,False,False,True,Day,2018.0,10.0,16.0,3.0
3,Los Angeles,CA,95.0,25.0,10.0,9.2,,Clear,False,True,False,False,False,False,Day,2017.0,6.0,13.0,4.0
2,Miami-Dade,FL,87.0,55.0,10.0,18.0,0.0,Partly Cloudy,False,False,False,False,False,False,Day,,,,
2,Montgomery,PA,23.0,78.0,10.0,0.0,0.0,Fair,False,False,False,False,False,True,Night,2020.0,11.0,21.0,2.0
2,Greenville,SC,81.0,34.0,10.0,3.5,,Clear,False,False,False,False,False,False,Day,2018.0,8.0,15.0,3.0
2,Kent,MI,31.0,61.0,10.0,9.0,0.0,Partly Cloudy,True,False,False,False,False,True,Day,2023.0,1.0,15.0,5.0
2,Pasco,FL,69.0,87.0,10.0,5.0,0.0,Cloudy,False,False,False,False,False,False,Night,2021.0,11.0,18.0,2.0
2,Providence,RI,75.0,64.0,10.0,6.0,0.0,Fair,False,False,False,False,False,False,Day,2021.0,8.0,18.0,1.0
2,Hamilton,OH,64.0,90.0,10.0,9.0,0.01,Light Rain,False,False,False,False,False,False,Day,2020.0,5.0,14.0,1.0
3,Shelby,TN,80.1,81.0,10.0,12.7,,Mostly Cloudy,False,True,False,False,False,False,Day,2017.0,8.0,17.0,6.0
3,Bland,VA,59.0,31.0,10.0,8.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,3.0,16.0,2.0
2,Riverside,CA,62.0,82.0,10.0,0.0,0.0,Fair,False,False,False,False,False,False,Night,2020.0,10.0,21.0,2.0
2,Montgomery,MD,62.0,25.0,10.0,9.0,0.0,Fair,False,True,False,False,False,False,Day,2022.0,11.0,13.0,2.0
2,Cook,IL,35.0,82.0,9.0,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Night,2022.0,12.0,20.0,4.0
3,Washington,VA,87.0,46.0,10.0,0.0,0.0,Fair,False,True,False,False,False,False,Day,2022.0,6.0,16.0,2.0
2,Santa Cruz,CA,49.0,64.0,10.0,10.0,0.0,Mostly Cloudy,True,False,False,False,False,True,Day,2023.0,2.0,14.0,3.0
2,Merced,CA,52.0,100.0,10.0,0.0,0.0,Cloudy,True,False,True,False,False,False,Night,2020.0,12.0,3.0,5.0
2,Jackson,OR,56.0,28.0,10.0,3.0,0.0,Fair,False,False,False,False,False,False,Day,2022.0,2.0,16.0,4.0
2,Shasta,CA,50.0,86.0,10.0,12.0,0.04,Cloudy,False,False,False,False,False,False,Day,,,,
2,Pima,AZ,89.6,13.0,10.0,8.1,,Clear,False,False,False,False,True,False,Day,2017.0,10.0,12.0,3.0
2,Missoula,MT,32.0,73.0,10.0,0.0,0.0,Fair,True,False,False,False,False,True,Night,2020.0,11.0,17.0,1.0
3,Capitol,CT,79.0,69.0,10.0,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,Day,2022.0,7.0,8.0,1.0
3,Jefferson,AL,69.1,96.0,10.0,,,Partly Cloudy,False,False,False,False,False,False,Day,2018.0,6.0,6.0,1.0
